kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,64,0.001,1,0.0003532,1.48439,0,524288,49152,10.6667
dense,optimized,64,0.001,2,0.000409,1.28188,0,524288,49152,10.6667
dense,optimized,64,0.001,4,0.0003403,1.54066,0,524288,49152,10.6667
dense,optimized,64,0.001,8,0.0003497,1.49925,0,524288,49152,10.6667
dense,optimized,64,0.001,16,0.0003627,1.44551,0,524288,49152,10.6667
dense,optimized,64,0.005,1,0.0003276,1.60039,0,524288,49152,10.6667
csr,optimized,64,0.005,1,4.26e-05,12.2381,1.15033e+10,521344,65612,7.94586
dense,optimized,64,0.005,2,0.0003931,1.33373,0,524288,49152,10.6667
csr,optimized,64,0.005,2,3.82e-05,13.6645,1.14892e+10,521984,65652,7.95077
dense,optimized,64,0.005,4,0.0003571,1.46818,0,524288,49152,10.6667
csr,optimized,64,0.005,4,8.09e-05,6.45538,1.14836e+10,522240,65668,7.95273
dense,optimized,64,0.005,8,0.0003593,1.45919,0,524288,49152,10.6667
csr,optimized,64,0.005,8,0.0001853,2.81766,1.14864e+10,522112,65660,7.95175
dense,optimized,64,0.005,16,0.000392,1.33747,0,524288,49152,10.6667
csr,optimized,64,0.005,16,0.0003578,1.45887,1.14892e+10,521984,65652,7.95077
dense,optimized,64,0.01,1,0.000341,1.5375,0,524288,49152,10.6667
csr,optimized,64,0.01,1,2.2e-05,23.6276,1.15373e+10,519808,65516,7.93406
dense,optimized,64,0.01,2,0.0003929,1.33441,0,524288,49152,10.6667
csr,optimized,64,0.01,2,3.43e-05,15.1286,1.15572e+10,518912,65460,7.92716
dense,optimized,64,0.01,4,0.0003748,1.39885,0,524288,49152,10.6667
csr,optimized,64,0.01,4,8.22e-05,6.33148,1.15231e+10,520448,65556,7.93898
dense,optimized,64,0.01,8,0.0003524,1.48776,0,524288,49152,10.6667
csr,optimized,64,0.01,8,0.000217,2.38953,1.15658e+10,518528,65436,7.9242
dense,optimized,64,0.01,16,0.0003471,1.51048,0,524288,49152,10.6667
csr,optimized,64,0.01,16,0.0002529,2.05185,1.15572e+10,518912,65460,7.92716
dense,optimized,64,0.02,1,0.0003205,1.63584,0,524288,49152,10.6667
csr,optimized,64,0.02,1,2.2e-05,23.36,1.16695e+10,513920,65148,7.8885
dense,optimized,64,0.02,2,0.0003955,1.32563,0,524288,49152,10.6667
csr,optimized,64,0.02,2,3.71e-05,13.8557,1.16666e+10,514048,65156,7.8895
dense,optimized,64,0.02,4,0.0003481,1.50614,0,524288,49152,10.6667
csr,optimized,64,0.02,4,8.78e-05,5.87517,1.16261e+10,515840,65268,7.90341
dense,optimized,64,0.02,8,0.0003623,1.44711,0,524288,49152,10.6667
csr,optimized,64,0.02,8,0.0002113,2.44309,1.16174e+10,516224,65292,7.90639
dense,optimized,64,0.02,16,0.0003718,1.41013,0,524288,49152,10.6667
csr,optimized,64,0.02,16,0.0002188,2.34062,1.17103e+10,512128,65036,7.87453
dense,optimized,64,0.05,1,0.000342,1.53301,0,524288,49152,10.6667
csr,optimized,64,0.05,1,2.17e-05,22.9751,1.2029e+10,498560,64188,7.76718
dense,optimized,64,0.05,2,0.0008169,0.641802,0,524288,49152,10.6667
csr,optimized,64,0.05,2,0.0001284,3.88685,1.20167e+10,499072,64220,7.77129
dense,optimized,64,0.05,4,0.0003454,1.51792,0,524288,49152,10.6667
csr,optimized,64,0.05,4,8.4e-05,5.8941,1.2113e+10,495104,63972,7.73939
dense,optimized,64,0.05,8,0.0003271,1.60284,0,524288,49152,10.6667
csr,optimized,64,0.05,8,0.0002189,2.28576,1.1986e+10,500352,64300,7.78152
dense,optimized,64,0.05,16,0.0003671,1.42819,0,524288,49152,10.6667
csr,optimized,64,0.05,16,0.0002229,2.24187,1.20013e+10,499712,64260,7.77641
dense,optimized,64,0.1,1,0.0003657,1.43366,0,524288,49152,10.6667
csr,optimized,64,0.1,1,2.05e-05,22.9838,1.27284e+10,471168,62476,7.54158
dense,optimized,64,0.1,2,0.0003808,1.37681,0,524288,49152,10.6667
csr,optimized,64,0.1,2,3.39e-05,13.8799,1.27457e+10,470528,62436,7.53617
dense,optimized,64,0.1,4,0.0003452,1.51879,0,524288,49152,10.6667
csr,optimized,64,0.1,4,8.85e-05,5.34129,1.2687e+10,472704,62572,7.55456
dense,optimized,64,0.1,8,0.0003389,1.54703,0,524288,49152,10.6667
csr,optimized,64,0.1,8,0.0001735,2.7378,1.26255e+10,475008,62716,7.57395
dense,optimized,64,0.1,16,0.0004199,1.2486,0,524288,49152,10.6667
csr,optimized,64,0.1,16,0.000208,2.26708,1.2718e+10,471552,62500,7.54483
dense,optimized,64,0.2,1,0.000371,1.41318,0,524288,49152,10.6667
csr,optimized,64,0.2,1,1.93e-05,21.9391,1.41636e+10,423424,59492,7.11733
dense,optimized,64,0.2,2,0.0004056,1.29262,0,524288,49152,10.6667
csr,optimized,64,0.2,2,3.25e-05,12.9024,1.43019e+10,419328,59236,7.07894
dense,optimized,64,0.2,4,0.0003602,1.45555,0,524288,49152,10.6667
csr,optimized,64,0.2,4,7.12e-05,5.88225,1.43194e+10,418816,59204,7.07412
dense,optimized,64,0.2,8,0.0003698,1.41776,0,524288,49152,10.6667
csr,optimized,64,0.2,8,6.62e-05,6.36326,1.42367e+10,421248,59356,7.09697
dense,optimized,64,0.2,16,0.0003922,1.33679,0,524288,49152,10.6667
csr,optimized,64,0.2,16,0.0002115,1.99474,1.42151e+10,421888,59396,7.10297
dense,optimized,64,0.5,1,0.0003707,1.41432,0,524288,49152,10.6667
csr,optimized,64,0.5,1,1.29e-05,19.964,2.32868e+10,257536,49124,5.24257
dense,optimized,64,0.5,2,0.0003701,1.41661,0,524288,49152,10.6667
csr,optimized,64,0.5,2,2.91e-05,9.00838,2.28775e+10,262144,49412,5.30527
dense,optimized,64,0.5,4,0.0003588,1.46123,0,524288,49152,10.6667
csr,optimized,64,0.5,4,7.4e-05,3.584,2.26125e+10,265216,49604,5.34667
dense,optimized,64,0.5,8,0.0004018,1.30485,0,524288,49152,10.6667
csr,optimized,64,0.5,8,0.0003358,0.774937,2.30463e+10,260224,49292,5.27923
dense,optimized,64,0.5,16,0.0006833,0.767288,0,524288,49152,10.6667
csr,optimized,64,0.5,16,0.0001621,1.57769,2.345e+10,255744,49012,5.21799
dense,optimized,128,0.001,1,0.002822,1.48629,0,4194304,196608,21.3333
dense,optimized,128,0.001,2,0.0028655,1.46373,0,4194304,196608,21.3333
dense,optimized,128,0.001,4,0.001353,3.1,0,4194304,196608,21.3333
dense,optimized,128,0.001,8,0.0007766,5.40086,0,4194304,196608,21.3333
dense,optimized,128,0.001,16,0.0014296,2.9339,0,4194304,196608,21.3333
dense,optimized,128,0.005,1,0.0028518,1.47076,0,4194304,196608,21.3333
csr,optimized,128,0.005,1,0.0002294,18.1845,2.87531e+09,4171520,261948,15.925
dense,optimized,128,0.005,2,0.0027733,1.51239,0,4194304,196608,21.3333
csr,optimized,128,0.005,2,0.0002004,20.8134,2.87567e+09,4171008,261932,15.924
dense,optimized,128,0.005,4,0.0013576,3.0895,0,4194304,196608,21.3333
csr,optimized,128,0.005,4,0.000242,17.2493,2.87337e+09,4174336,262036,15.9304
dense,optimized,128,0.005,8,0.0008653,4.84723,0,4194304,196608,21.3333
csr,optimized,128,0.005,8,0.0003722,11.2029,2.87655e+09,4169728,261892,15.9216
dense,optimized,128,0.005,16,0.0014615,2.86986,0,4194304,196608,21.3333
csr,optimized,128,0.005,16,0.000419,9.95712,2.87496e+09,4172032,261964,15.926
dense,optimized,128,0.01,1,0.0028838,1.45444,0,4194304,196608,21.3333
csr,optimized,128,0.01,1,0.0002076,19.9793,2.89182e+09,4147712,261204,15.8792
dense,optimized,128,0.01,2,0.003005,1.39578,0,4194304,196608,21.3333
csr,optimized,128,0.01,2,0.0001737,23.9228,2.88648e+09,4155392,261444,15.894
