kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,1024,0.001,1,1.4377,1.49369,0,2147483648,12582912,170.667
dense,optimized,1024,0.005,1,1.44775,1.48333,0,2147483648,12582912,170.667
csr,optimized,1024,0.005,1,0.292694,7.30007,1.54333e+08,2136688640,16739148,127.646
dense,optimized,1024,0.01,1,1.44446,1.4867,0,2147483648,12582912,170.667
csr,optimized,1024,0.01,1,0.289883,7.33371,1.55121e+08,2125918208,16697076,127.323
dense,optimized,1024,0.02,1,1.43079,1.50091,0,2147483648,12582912,170.667
csr,optimized,1024,0.02,1,0.282429,7.45049,1.56726e+08,2104238080,16612388,126.667
dense,optimized,1024,0.05,1,1.43885,1.4925,0,2147483648,12582912,170.667
csr,optimized,1024,0.05,1,0.2733,7.46585,1.61634e+08,2040420352,16363100,124.696
dense,optimized,1024,0.1,1,1.4312,1.50048,0,2147483648,12582912,170.667
csr,optimized,1024,0.1,1,0.276925,6.97917,1.70649e+08,1932705792,15942340,121.231
dense,optimized,1024,0.2,1,1.44364,1.48755,0,2147483648,12582912,170.667
csr,optimized,1024,0.2,1,0.239084,7.18604,1.91976e+08,1718067200,15103908,113.75
dense,optimized,1024,0.5,1,1.43725,1.49416,0,2147483648,12582912,170.667
csr,optimized,1024,0.5,1,0.136636,7.86185,3.07054e+08,1074208768,12588836,85.3303
