kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,optimized,64,0.001,1,0.0004033,1.3,0,524288,49152,10.6667
dense,optimized,64,0.001,2,0.000401,1.30745,0,524288,49152,10.6667
dense,optimized,64,0.001,4,0.0004194,1.25009,0,524288,49152,10.6667
dense,optimized,64,0.001,8,0.000387133,1.35428,0,524288,49152,10.6667
dense,optimized,64,0.001,16,0.0004776,1.09776,0,524288,49152,10.6667
dense,optimized,64,0.005,1,0.000382333,1.37129,0,524288,49152,10.6667
csr,optimized,64,0.005,1,2.68e-05,19.4579,8.28922e+10,521472,65620,7.94685
dense,optimized,64,0.005,2,0.000394867,1.32776,0,524288,49152,10.6667
csr,optimized,64,0.005,2,4.53667e-05,11.4833,8.29736e+10,520960,65588,7.94292
dense,optimized,64,0.005,4,0.000412067,1.27234,0,524288,49152,10.6667
csr,optimized,64,0.005,4,4.84667e-05,10.7647,8.28515e+10,521728,65636,7.94881
dense,optimized,64,0.005,8,0.000386,1.35826,0,524288,49152,10.6667
csr,optimized,64,0.005,8,6.99667e-05,7.46047,8.28109e+10,521984,65652,7.95077
dense,optimized,64,0.005,16,0.000395833,1.32452,0,524288,49152,10.6667
csr,optimized,64,0.005,16,8.47333e-05,6.15125,8.29329e+10,521216,65604,7.94488
dense,optimized,64,0.01,1,0.0003827,1.36997,0,524288,49152,10.6667
csr,optimized,64,0.01,1,2.54667e-05,20.4013,8.31985e+10,519552,65500,7.93209
dense,optimized,64,0.01,2,0.000609933,0.859582,0,524288,49152,10.6667
csr,optimized,64,0.01,2,3.18667e-05,16.2517,8.34658e+10,517888,65396,7.91926
dense,optimized,64,0.01,4,0.000458333,1.1439,0,524288,49152,10.6667
csr,optimized,64,0.01,4,5.13667e-05,10.0946,8.33628e+10,518528,65436,7.9242
dense,optimized,64,0.01,8,0.0003648,1.43719,0,524288,49152,10.6667
csr,optimized,64,0.01,8,6.89e-05,7.54996,8.30962e+10,520192,65540,7.93702
dense,optimized,64,0.01,16,0.000409733,1.27958,0,524288,49152,10.6667
csr,optimized,64,0.01,16,8.44e-05,6.15886,8.31576e+10,519808,65516,7.93406
dense,optimized,64,0.02,1,0.000372967,1.40572,0,524288,49152,10.6667
csr,optimized,64,0.02,1,2.55e-05,20.1487,8.41313e+10,513792,65140,7.8875
dense,optimized,64,0.02,2,0.0004019,1.30452,0,524288,49152,10.6667
csr,optimized,64,0.02,2,3.06e-05,16.7906,8.41313e+10,513792,65140,7.8875
dense,optimized,64,0.02,4,0.000402833,1.3015,0,524288,49152,10.6667
csr,optimized,64,0.02,4,4.21667e-05,12.1909,8.40894e+10,514048,65156,7.8895
dense,optimized,64,0.02,8,0.000354067,1.48076,0,524288,49152,10.6667
csr,optimized,64,0.02,8,6.79e-05,7.55558,8.42572e+10,513024,65092,7.88152
dense,optimized,64,0.02,16,0.000392467,1.33588,0,524288,49152,10.6667
csr,optimized,64,0.02,16,8.71e-05,5.8783,8.44257e+10,512000,65028,7.87353
dense,optimized,64,0.05,1,0.000356,1.47272,0,524288,49152,10.6667
csr,optimized,64,0.05,1,2.76333e-05,18.0512,8.66572e+10,498816,64204,7.76924
dense,optimized,64,0.05,2,0.000405667,1.29241,0,524288,49152,10.6667
csr,optimized,64,0.05,2,3.64667e-05,13.6682,8.67239e+10,498432,64180,7.76616
dense,optimized,64,0.05,4,0.000379633,1.38104,0,524288,49152,10.6667
csr,optimized,64,0.05,4,4.28e-05,11.6396,8.67685e+10,498176,64164,7.7641
dense,optimized,64,0.05,8,0.000368967,1.42096,0,524288,49152,10.6667
csr,optimized,64,0.05,8,6.58667e-05,7.56923,8.67017e+10,498560,64188,7.76718
dense,optimized,64,0.05,16,0.000409833,1.27927,0,524288,49152,10.6667
csr,optimized,64,0.05,16,8.67667e-05,5.76369,8.64354e+10,500096,64284,7.77948
dense,optimized,64,0.1,1,0.000413533,1.26783,0,524288,49152,10.6667
csr,optimized,64,0.1,1,2.73333e-05,17.266,9.15929e+10,471936,62524,7.54808
dense,optimized,64,0.1,2,0.000381567,1.37404,0,524288,49152,10.6667
csr,optimized,64,0.1,2,3.59667e-05,13.0859,9.1842e+10,470656,62444,7.53725
dense,optimized,64,0.1,4,0.000402533,1.30247,0,524288,49152,10.6667
csr,optimized,64,0.1,4,4.08667e-05,11.6108,9.10987e+10,474496,62684,7.56965
