kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,simd,1024,0.001,1,0.0845338,25.4038,0,2147483648,12582912,170.667
csr,simd,1024,0.001,1,0.0886024,24.2118,3.22361e+08,2145226752,16772500,127.901
dense,simd,1024,0.005,1,0.0850415,25.2522,0,2147483648,12582912,170.667
csr,simd,1024,0.005,1,0.0882917,24.1995,3.23663e+08,2136619008,16738876,127.644
dense,simd,1024,0.01,1,0.0858615,25.011,0,2147483648,12582912,170.667
csr,simd,1024,0.01,1,0.0875923,24.2725,3.25271e+08,2126086144,16697732,127.328
dense,simd,1024,0.02,1,0.0864506,24.8406,0,2147483648,12582912,170.667
csr,simd,1024,0.02,1,0.0873046,24.1089,3.28561e+08,2104817664,16614652,126.684
dense,simd,1024,0.05,1,0.0858151,25.0245,0,2147483648,12582912,170.667
csr,simd,1024,0.05,1,0.0846853,24.0863,3.39045e+08,2039754752,16360500,124.676
dense,simd,1024,0.1,1,0.0859272,24.9919,0,2147483648,12582912,170.667
csr,simd,1024,0.1,1,0.0804043,24.0351,3.57862e+08,1932525568,15941636,121.225
dense,simd,1024,0.2,1,0.0873636,24.581,0,2147483648,12582912,170.667
csr,simd,1024,0.2,1,0.0666829,25.7719,4.02424e+08,1718546432,15105780,113.767
dense,simd,1024,0.5,1,0.0856641,25.0686,0,2147483648,12582912,170.667
csr,simd,1024,0.5,1,0.0331304,32.4348,6.43593e+08,1074577408,12590276,85.3498
