kernel_type,implementation,size,sparsity,threads,time_seconds,gflops,cpnz,flops,bytes_accessed,arithmetic_intensity
dense,simd,64,0,1,0.0001609,3.25847,0,524288,49152,10.6667
csr,simd,64,0.1,1,6.55667e-05,7.20171,69.3169,472192,62540,7.55024
csr,simd,64,0.5,1,6.18667e-05,4.22897,118.043,261632,49380,5.29834
csr,simd,64,0.9,1,5.96333e-05,0.862873,578.532,51456,36244,1.41971
dense,simd,128,0,1,8.76333e-05,47.862,0,4194304,196608,21.3333
csr,simd,128,0.1,1,0.0001165,32.5241,30.6973,3789056,249996,15.1565
csr,simd,128,0.5,1,9.01667e-05,23.1223,43.179,2084864,196740,10.5971
csr,simd,128,0.9,1,6.40333e-05,6.78846,147.073,434688,145172,2.9943
dense,simd,256,0,1,0.000493133,68.0433,0,33554432,786432,42.6667
csr,simd,256,0.1,1,0.0005393,56.0551,35.6221,30230528,997668,30.3012
csr,simd,256,0.5,1,0.000340233,49.3636,40.4509,16795136,787740,21.3207
csr,simd,256,0.9,1,0.000109267,30.4435,65.5903,3326464,577292,5.76219
dense,simd,512,0,1,0.0046294,57.9849,0,268435456,3145728,85.3333
csr,simd,512,0.1,1,0.0041979,57.5471,69.3971,241576960,3986524,60.5984
csr,simd,512,0.5,1,0.00241733,55.5815,71.8512,134359040,3148884,42.6688
csr,simd,512,0.9,1,0.0006188,43.573,91.6532,26962944,2309852,11.673
dense,simd,1024,0,1,0.0843878,25.4478,0,2147483648,12582912,170.667
csr,simd,1024,0.1,1,0.0782701,24.7093,323.246,1934002176,15947404,121.274
csr,simd,1024,0.5,1,0.0320935,33.4798,238.568,1074483200,12589908,85.3448
csr,simd,1024,0.9,1,0.005124,42.0711,189.85,215572480,9234788,23.3435
